id,car_model,fuel_type,transmission,price,odo,year,khv,vdk,blg
883,Toyota Land Cruiser,дизель,АКПП,4290000,260000.0,2015,1,0,0
884,Toyota Kluger V,бензин,АКПП,1150000,212000.0,2000,1,0,0
885,Toyota Vitz,бензин,вариатор,770000,93000.0,2011,1,0,0
886,Toyota Prius Alpha,гибрид,вариатор,1400000,174000.0,2015,1,0,0
887,Toyota Estima,гибрид,вариатор,1450000,253891.0,2010,1,0,0
888,Toyota Caldina,бензин,АКПП,420000,130000.0,1999,1,0,0
889,Toyota Crown,бензин,АКПП,1330000,330.0,2012,1,0,0
890,Toyota Premio,бензин,вариатор,1700000,88000.0,2017,1,0,0
891,Toyota Wish,бензин,вариатор,1450000,103000.0,2015,1,0,0
892,Toyota Verossa,бензин,АКПП,650000,180000.0,2003,1,0,0
893,Toyota Prius,гибрид,вариатор,965000,202000.0,2011,1,0,0
894,Toyota Passo,бензин,АКПП,270000,90000.0,2004,1,0,0
895,Toyota Sai,гибрид,вариатор,1570000,185000.0,2014,1,0,0
896,Toyota Sienta,гибрид,вариатор,1150000,94134.0,2015,1,0,0
897,Toyota Sai,гибрид,вариатор,1130000,100000.0,2009,1,0,0
898,Toyota Land Cruiser,дизель,АКПП,2100000,360000.0,1996,1,0,0
899,Toyota Land Cruiser,дизель,АКПП,4750000,175000.0,2015,1,0,0
900,Toyota ist,бензин,АКПП,495000,157000.0,2003,1,0,0
901,Toyota RAV4,бензин,вариатор,1280000,179897.0,2006,1,0,0
902,Toyota Prius,гибрид,вариатор,1150000,174000.0,2013,1,0,0
903,Toyota Harrier,бензин,АКПП,3100000,85000.0,2019,1,0,0
904,Toyota Prius,гибрид,вариатор,830000,172500.0,2010,1,0,0
905,Toyota Prius,гибрид,вариатор,970000,246000.0,2011,1,0,0
906,Toyota Vanguard,бензин,вариатор,1250000,170000.0,2009,1,0,0
907,Toyota Mark II,бензин,АКПП,520000,330000.0,1993,1,0,0
908,Toyota Prius Alpha,гибрид,вариатор,1115000,212000.0,2013,1,0,0
909,Toyota Vitz,бензин,автомат,950000,128000.0,2016,1,0,0
910,Toyota Sai,гибрид,вариатор,2000000,101000.0,2014,1,0,0
911,Toyota Hilux Surf,бензин,АКПП,990000,196000.0,1994,1,0,0
912,Toyota Mark II,бензин,автомат,850000,268000.0,1998,1,0,0
913,Toyota Corolla Fielder,гибрид,вариатор,1170000,136000.0,2019,1,0,0
914,Toyota Passo,бензин,вариатор,835000,60000.0,2018,1,0,0
915,Toyota Supra,бензин,АКПП,4500000,185000.0,1997,1,0,0
916,Toyota Vitz,бензин,вариатор,390000,234887.0,2006,1,0,0
917,Toyota Caldina,бензин,АКПП,700000,287000.0,2006,1,0,0
918,Toyota Land Cruiser Prado,бензин,АКПП,1750000,223000.0,2001,1,0,0
919,Toyota Corolla Fielder,бензин,вариатор,850000,253000.0,2009,1,0,0
920,Toyota Yaris,бензин,вариатор,1310000,97000.0,2021,1,0,0
921,Toyota Ipsum,бензин,АКПП,415000,95000.0,1998,1,0,0
922,Toyota Aqua,гибрид,вариатор,835000,96000.0,2013,1,0,0
923,Toyota Aqua,гибрид,вариатор,749000,175375.0,2012,1,0,0
924,Toyota Vitz,бензин,механика,550000,262000.0,2006,1,0,0
925,Toyota RAV4,бензин,вариатор,950000,140000.0,2006,1,0,0
926,Toyota Mark II,бензин,АКПП,390000,170000.0,2001,1,0,0
927,Toyota Mark X,бензин,АКПП,1150000,80000.0,2008,1,0,0
928,Toyota Sienta,бензин,вариатор,1100000,73000.0,2016,1,0,0
929,Toyota Corona,бензин,АКПП,180000,139026.0,1993,1,0,0
930,Toyota Succeed,бензин,АКПП,500000,300.0,2008,1,0,0
931,Toyota Rush,бензин,АКПП,600000,127303.0,2006,1,0,0
932,Toyota Auris,бензин,вариатор,1000000,135000.0,2012,1,0,0
933,Toyota Land Cruiser Prado,дизель,АКПП,5750000,61000.0,2020,1,0,0
934,Toyota Prius,гибрид,вариатор,600000,187509.0,2010,1,0,0
935,Toyota Land Cruiser Prado,дизель,АКПП,6690000,38000.0,2022,1,0,0
936,Toyota Chaser,бензин,АКПП,700000,127583.0,1998,1,0,0
937,Toyota Prius PHV,гибрид,вариатор,1200000,187000.0,2012,1,0,0
938,Toyota Vitz,бензин,вариатор,550000,185000.0,2011,1,0,0
939,Toyota Carina,бензин,АКПП,350000,1.0,1997,1,0,0
940,Toyota Land Cruiser,дизель,АКПП,9900000,23100.0,2021,1,0,0
941,Toyota Corolla Levin,бензин,АКПП,270000,250000.0,1997,1,0,0
942,Toyota Chaser,бензин,АКПП,900000,140000.0,2000,1,0,0
943,Toyota Raize,бензин,вариатор,1409000,32113.0,2022,1,0,0
944,Toyota RAV4,бензин,вариатор,1650000,132288.0,2011,1,0,0
945,Toyota Land Cruiser,дизель,АКПП,2480000,290000.0,1996,1,0,0
946,Toyota Corolla,бензин,вариатор,1790000,108000.0,2021,1,0,0
947,Toyota Land Cruiser,бензин,АКПП,3800000,132000.0,2011,1,0,0
948,Toyota Land Cruiser Prado,дизель,АКПП,4380000,88000.0,2017,1,0,0
949,Toyota Starlet,бензин,автомат,200000,180000.0,1996,1,0,0
950,Toyota Mark II,бензин,АКПП,777000,350000.0,2003,1,0,0
951,Toyota Hilux,дизель,АКПП,5300000,100.0,2023,1,0,0
952,Toyota Hilux,дизель,АКПП,5200000,10.0,2023,1,0,0
953,Toyota Land Cruiser Prado,бензин,АКПП,3250000,185000.0,2011,1,0,0
954,Toyota Hilux,дизель,механика,350000,250000.0,1991,1,0,0
955,Toyota Land Cruiser,дизель,механика,3600000,205000.0,2006,1,0,0
956,Toyota Land Cruiser,дизель,механика,3600000,205000.0,2006,1,0,0
957,Toyota Corolla Fielder,гибрид,вариатор,1200000,115000.0,2013,1,0,0
958,Toyota RAV4,бензин,АКПП,388000,240000.0,1998,1,0,0
959,Toyota Land Cruiser Cygnus,бензин,АКПП,1788000,198000.0,1999,1,0,0
960,Toyota Premio,бензин,АКПП,758000,138000.0,2006,1,0,0
961,Toyota Isis,бензин,вариатор,1488000,90000.0,2012,1,0,0
962,Toyota Probox,гибрид,вариатор,1228000,127000.0,2019,1,0,0
963,Toyota Camry,гибрид,вариатор,2758000,103000.0,2018,1,0,0
964,Toyota Aqua,гибрид,вариатор,850000,221000.0,2015,1,0,0
965,Toyota Corona Premio,бензин,АКПП,355000,350000.0,1997,1,0,0
966,Toyota Auris,бензин,вариатор,850000,190000.0,2014,1,0,0
967,Toyota Aqua,гибрид,вариатор,850000,130151.0,2014,1,0,0
968,Toyota Aqua,гибрид,вариатор,665000,154000.0,2013,1,0,0
969,Toyota Land Cruiser Prado,бензин,АКПП,3557000,104614.0,2012,1,0,0
970,Toyota Land Cruiser Prado,бензин,АКПП,2100000,359000.0,2004,1,0,0
971,Toyota Land Cruiser Prado,бензин,АКПП,1500000,297000.0,2002,1,0,0
972,Toyota Wish,бензин,вариатор,1040000,136416.0,2010,1,0,0
973,Toyota Passo,бензин,вариатор,820000,52893.0,2017,1,0,0
974,Toyota Vitz,бензин,вариатор,815000,157044.0,2017,1,0,0
975,Toyota Succeed,бензин,вариатор,1250000,104000.0,2017,1,0,0
976,Toyota Alphard,гибрид,вариатор,2900000,87000.0,2012,1,0,0
977,Toyota Raum,бензин,АКПП,600000,352416.0,2008,1,0,0
978,Toyota Allion,бензин,вариатор,1750000,45327.0,2016,1,0,0
979,Toyota Ipsum,бензин,АКПП,545000,309000.0,1999,1,0,0
980,Toyota Premio,бензин,АКПП,850000,120000.0,2006,1,0,0
981,Toyota Roomy,бензин,вариатор,1050000,45797.0,2021,1,0,0
982,Toyota Camry,бензин,АКПП,2600000,72588.0,2019,1,0,0
983,Toyota Land Cruiser,бензин,АКПП,13300000,2820.0,2023,1,0,0
984,Toyota Land Cruiser,дизель,АКПП,1350000,405000.0,1994,1,0,0
985,Toyota C-HR,бензин,вариатор,1715000,47732.0,2018,1,0,0
986,Toyota Land Cruiser,бензин,АКПП,2915000,315541.0,2007,1,0,0
987,Toyota Prius,гибрид,вариатор,1665000,88835.0,2016,1,0,0
988,Toyota GT 86,бензин,механика,2490000,34535.0,2019,1,0,0
989,Toyota Vitz,бензин,вариатор,1050000,78428.0,2019,1,0,0
990,Toyota Tacoma,бензин,АКПП,3120000,155570.0,2009,1,0,0
991,Toyota Camry,гибрид,вариатор,2680000,127779.0,2019,1,0,0
992,Toyota Carina,бензин,АКПП,690000,222793.0,2001,1,0,0
993,Toyota Land Cruiser Prado,бензин,АКПП,3230000,156900.0,2014,1,0,0
994,Toyota Kluger V,бензин,АКПП,1190000,187842.0,2002,1,0,0
995,Toyota Vitz,бензин,вариатор,830000,106000.0,2013,1,0,0
996,Toyota RAV4,бензин,вариатор,4200000,48901.0,2024,1,0,0
997,Toyota Sienta,бензин,вариатор,1430000,121414.0,2019,1,0,0
998,Toyota Corolla Axio,бензин,вариатор,1200000,120000.0,2021,1,0,0
999,Toyota ist,бензин,вариатор,1180000,102000.0,2014,1,0,0
1000,Toyota Corolla Axio,бензин,вариатор,668000,260.0,2008,1,0,0
1001,Toyota Sienta,бензин,вариатор,500000,180000.0,2006,1,0,0
1002,Toyota Crown,бензин,АКПП,3350000,92000.0,2018,1,0,0
1003,Toyota Allion,бензин,вариатор,1630000,41000.0,2016,1,0,0
1004,Toyota Sprinter,бензин,АКПП,220000,325768.0,1991,1,0,0
1005,Toyota Crown,бензин,АКПП,1588000,114294.0,2009,1,0,0
1006,Toyota Land Cruiser Prado,бензин,АКПП,4850000,28000.0,2020,1,0,0
1007,Toyota Camry,гибрид,вариатор,4650000,,2024,1,0,0
1008,Toyota Corolla Fielder,бензин,вариатор,779000,173325.0,2008,1,0,0
1009,Toyota Wish,бензин,вариатор,1259000,215801.0,2014,1,0,0
1010,Toyota Wish,бензин,вариатор,1259000,215801.0,2014,1,0,0
1011,Toyota RAV4,бензин,вариатор,2649000,70339.0,2017,1,0,0
1012,Toyota Crown,бензин,АКПП,1550000,186000.0,2008,1,0,0
1013,Toyota C-HR,бензин,вариатор,1950000,31500.0,2018,1,0,0
1014,Toyota Ractis,бензин,вариатор,970000,81000.0,2014,1,0,0
1015,Toyota Corolla Fielder,бензин,вариатор,850000,260000.0,2012,1,0,0
1016,Toyota Carina,бензин,АКПП,169000,199999.0,1988,1,0,0
1017,Toyota Sienta,бензин,вариатор,750000,112000.0,2009,1,0,0
1018,Toyota Crown,бензин,АКПП,420000,327282.0,1990,1,0,0
1019,Toyota Prius Alpha,гибрид,вариатор,1900000,98000.0,2018,1,0,0
1020,Toyota Land Cruiser,бензин,АКПП,5180000,212373.0,2015,1,0,0
1021,Toyota Hilux,дизель,АКПП,4390000,192424.0,2020,1,0,0
1022,Toyota Land Cruiser,дизель,АКПП,10700000,37764.0,2021,1,0,0
1023,Toyota Land Cruiser Prado,бензин,АКПП,1950000,223328.0,2008,1,0,0
1024,Toyota Crown,гибрид,вариатор,2900000,155982.0,2018,1,0,0
1025,Toyota Passo,бензин,вариатор,580000,71116.0,2014,1,0,0
1026,Toyota C-HR,гибрид,вариатор,1699000,79979.0,2018,1,0,0
1027,Toyota Passo,бензин,вариатор,850000,10127.0,2020,1,0,0
1028,Toyota Corolla Fielder,бензин,вариатор,1700000,69589.0,2020,1,0,0
1029,Toyota Passo,бензин,вариатор,850000,10127.0,2020,1,0,0
1030,Toyota Corolla Fielder,бензин,вариатор,1700000,69589.0,2020,1,0,0
1031,Toyota RAV4,бензин,АКПП,2250000,62607.0,2016,1,0,0
1032,Toyota RAV4,бензин,вариатор,2280000,106038.0,2016,1,0,0
1033,Toyota Prius Alpha,гибрид,вариатор,1300000,227000.0,2012,1,0,0
1034,Toyota Town Ace Noah,бензин,автомат,450000,298000.0,1994,1,0,0
1035,Toyota C-HR,гибрид,вариатор,1750000,108000.0,2018,1,0,0
1036,Toyota Land Cruiser,дизель,механика,2200000,327000.0,2006,1,0,0
1037,Toyota Prius Alpha,гибрид,вариатор,1230000,240000.0,2014,1,0,0
1038,Toyota Corolla,бензин,АКПП,520000,308000.0,2000,1,0,0
1039,Toyota Caldina,бензин,АКПП,750000,340000.0,2007,1,0,0
1040,Toyota Vitz,бензин,вариатор,515000,192000.0,2010,1,0,0
1041,Toyota Corolla Rumion,бензин,вариатор,1000000,134000.0,2008,1,0,0
1042,Toyota Harrier,бензин,АКПП,780000,250000.0,1999,1,0,0
1043,Toyota Harrier,бензин,вариатор,3800000,37000.0,2020,1,0,0
1044,Toyota Lite Ace Noah,дизель,АКПП,520000,250.0,2000,1,0,0
1045,Toyota RAV4,бензин,механика,550000,256000.0,1994,1,0,0
1046,Toyota Vista,бензин,АКПП,230000,230000.0,1994,1,0,0
1047,Toyota Prius,гибрид,вариатор,1590000,104000.0,2017,1,0,0
1048,Toyota Allion,бензин,вариатор,1000000,152000.0,2009,1,0,0
1049,Toyota Harrier,бензин,вариатор,2808000,52000.0,2019,1,0,0
1050,Toyota Sprinter,бензин,АКПП,375000,195000.0,1994,1,0,0
1051,Toyota Mark II Wagon Qualis,бензин,АКПП,640000,260000.0,1999,1,0,0
1052,Toyota RAV4,бензин,вариатор,1750000,139250.0,2013,1,0,0
1053,Toyota Prius Alpha,гибрид,вариатор,1800000,100000.0,2019,1,0,0
1054,Toyota Harrier,гибрид,вариатор,2490000,179000.0,2014,1,0,0
1055,Toyota Allion,бензин,АКПП,700000,277000.0,2003,1,0,0
1056,Toyota Land Cruiser Prado,бензин,АКПП,4350000,137000.0,2017,1,0,0
1057,Toyota RAV4,бензин,АКПП,2600000,112000.0,2017,1,0,0
1058,Toyota Corolla Fielder,бензин,вариатор,990000,115000.0,2013,1,0,0
1059,Toyota C-HR,гибрид,вариатор,1660000,123000.0,2017,1,0,0
1060,Toyota Harrier,бензин,вариатор,2120000,95000.0,2016,1,0,0
1061,Toyota Prius,гибрид,вариатор,680000,285000.0,2011,1,0,0
1062,Toyota Raum,бензин,АКПП,880000,90100.0,2011,1,0,0
1063,Toyota Land Cruiser Prado,бензин,АКПП,3700000,108000.0,2016,1,0,0
1064,Toyota Corolla Fielder,гибрид,вариатор,1720000,60000.0,2019,1,0,0
1065,Toyota Crown,бензин,автомат,425000,202790.0,1991,1,0,0
1066,Toyota Isis,бензин,вариатор,1000000,116600.0,2011,1,0,0
1067,Toyota Harrier,бензин,автомат,3850000,37200.0,2020,1,0,0
1068,Toyota Platz,бензин,АКПП,380000,85000.0,2001,1,0,0
1069,Toyota Platz,бензин,АКПП,380000,85000.0,2001,1,0,0
1070,Toyota Camry,бензин,АКПП,818818,212000.0,2007,1,0,0
1071,Toyota RAV4,бензин,АКПП,1200000,153000.0,2008,1,0,0
1072,Toyota Sprinter,бензин,АКПП,536000,238000.0,1998,1,0,0
1073,Toyota Wish,бензин,вариатор,1250000,150000.0,2012,1,0,0
1074,Toyota Voltz,бензин,АКПП,650000,204300.0,2002,1,0,0
1075,Toyota Probox,бензин,АКПП,735000,125000.0,2014,1,0,0
1076,Toyota Land Cruiser Prado,бензин,АКПП,4650000,37000.0,2019,1,0,0
1077,Toyota RAV4,бензин,АКПП,799000,250000.0,2000,1,0,0
1078,Toyota Caldina,бензин,автомат,550000,201000.0,1979,1,0,0
1079,Toyota Harrier,бензин,вариатор,3100000,37000.0,2018,1,0,0
1080,Toyota Prius,гибрид,вариатор,1710000,200000.0,2018,1,0,0
1081,Toyota Succeed,бензин,вариатор,1050000,184000.0,2017,1,0,0
1082,Toyota Aqua,гибрид,вариатор,900000,104127.0,2014,1,0,0
1083,Toyota RAV4,бензин,вариатор,1830000,230000.0,2013,1,0,0
1084,Toyota Alphard,бензин,вариатор,5700000,26000.0,2019,1,0,0
1085,Toyota Belta,бензин,вариатор,600000,59000.0,2005,1,0,0
1086,Toyota Prius,гибрид,вариатор,1445000,200000.0,2017,1,0,0
1087,Toyota Crown,гибрид,вариатор,2850000,147000.0,2017,1,0,0
1088,Toyota Crown,бензин,АКПП,750000,257499.0,1998,1,0,0
1089,Toyota Ipsum,бензин,АКПП,570000,280000.0,1998,1,0,0
1090,Toyota Prius,гибрид,вариатор,838000,250000.0,2008,1,0,0
1091,Toyota Hiace,бензин,механика,2250000,190000.0,2008,1,0,0
1092,Toyota Premio,бензин,вариатор,980000,226000.0,2010,1,0,0
1093,Toyota ist,бензин,АКПП,550000,176200.0,2003,1,0,0
1094,Toyota Caldina,бензин,АКПП,425000,278312.0,1996,1,0,0
1095,Toyota Carina,бензин,АКПП,420000,330000.0,1997,1,0,0
1096,Toyota C-HR,бензин,вариатор,2300000,32000.0,2019,1,0,0
1097,Toyota Vitz,бензин,вариатор,550000,154000.0,2010,1,0,0
1098,Toyota Tank,бензин,вариатор,1050000,124988.0,2019,1,0,0
1099,Toyota Land Cruiser,бензин,АКПП,1750000,310000.0,1999,1,0,0
1100,Toyota Land Cruiser Prado,дизель,автомат,1350000,300000.0,1999,1,0,0
1101,Toyota Noah,гибрид,вариатор,2649000,125000.0,2017,1,0,0
1102,Toyota Wish,бензин,АКПП,780000,299000.0,2004,1,0,0
1103,Toyota Allion,бензин,вариатор,1450000,117000.0,2013,1,0,0
1104,Toyota Camry Gracia,бензин,АКПП,200000,150000.0,1997,1,0,0
1105,Toyota Noah,бензин,вариатор,2570000,62000.0,2019,1,0,0
1106,Toyota Camry,бензин,АКПП,3350000,50000.0,2021,1,0,0
1107,Toyota Roomy,бензин,вариатор,1066000,66600.0,2017,1,0,0
1108,Toyota RAV4,бензин,вариатор,2200000,98000.0,2017,1,0,0
1109,Toyota Corolla Runx,бензин,механика,550000,308000.0,2003,1,0,0
1110,Toyota Spade,бензин,вариатор,990000,90000.0,2013,1,0,0
1111,Toyota C-HR,бензин,вариатор,850000,62000.0,2019,1,0,0
1112,Toyota Aqua,гибрид,вариатор,840000,155300.0,2016,1,0,0
1113,Toyota Corona Exiv,бензин,механика,300000,275919.0,1998,1,0,0
1114,Toyota Auris,бензин,вариатор,720000,287000.0,2006,1,0,0
1115,Toyota Windom,бензин,АКПП,430000,450000.0,1996,1,0,0
1116,Toyota Harrier,гибрид,вариатор,2200000,146432.0,2015,1,0,0
1117,Toyota Sienta,бензин,вариатор,1475000,110600.0,2016,1,0,0
1118,Toyota Belta,бензин,АКПП,550000,98000.0,2010,1,0,0
1119,Toyota Land Cruiser,бензин,АКПП,6600000,140000.0,2016,1,0,0
1120,Toyota Prius,гибрид,вариатор,1850000,115000.0,2016,1,0,0
1121,Toyota Corolla Runx,бензин,АКПП,700000,230246.0,2005,1,0,0
1122,Toyota Prius Alpha,гибрид,вариатор,2100000,130000.0,2018,1,0,0
1123,Toyota Noah,гибрид,вариатор,1780000,160000.0,2014,1,0,0
1124,Toyota Prius,гибрид,вариатор,1160000,191000.0,2012,1,0,0
1125,Toyota Esquire,гибрид,вариатор,1910000,119950.0,2016,1,0,0
1126,Toyota Corona Premio,бензин,АКПП,535000,210000.0,2000,1,0,0
1127,Toyota Allion,бензин,вариатор,1250000,260183.0,2012,1,0,0
1128,Toyota Camry,бензин,АКПП,700000,198000.0,2001,1,0,0
1129,Toyota Prius,гибрид,вариатор,735000,1.0,2010,1,0,0
1130,Toyota WiLL VS,бензин,механика,400000,200000.0,2002,1,0,0
1131,Toyota Estima Emina,дизель,механика,365000,218000.0,1996,1,0,0
1132,Toyota Prius Alpha,гибрид,вариатор,1250000,160000.0,2014,1,0,0
1133,Toyota Premio,бензин,АКПП,650000,325000.0,2006,1,0,0
1134,Toyota Prius,гибрид,вариатор,899000,220000.0,2010,1,0,0
1135,Toyota Prius,гибрид,вариатор,1170000,240000.0,2011,1,0,0
1136,Toyota Vitz,бензин,вариатор,350000,178000.0,2005,1,0,0
1137,Toyota Prius,гибрид,вариатор,1099000,250000.0,2015,1,0,0
1138,Toyota Corolla Fielder,бензин,вариатор,1050000,190000.0,2010,1,0,0
1139,Toyota Corona,дизель,АКПП,200000,560000.0,1995,1,0,0
1140,Toyota Vitz,бензин,вариатор,955000,149000.0,2016,1,0,0
1141,Toyota Corolla Fielder,бензин,вариатор,800000,280000.0,2006,1,0,0
1142,Toyota Allion,бензин,вариатор,1000000,280000.0,2010,1,0,0
1143,Toyota Land Cruiser Prado,дизель,АКПП,4980000,39500.0,2019,1,0,0
1144,Toyota Corolla Axio,бензин,вариатор,600000,484000.0,2006,1,0,0
1145,Toyota WiLL VS,бензин,АКПП,700000,90000.0,2002,1,0,0
1146,Toyota Hilux,дизель,АКПП,4550000,50000.0,2022,1,0,0
1147,Toyota Land Cruiser,дизель,механика,1599000,460000.0,1997,1,0,0
1148,Toyota Venza,бензин,АКПП,1900000,200000.0,2010,1,0,0
1149,Toyota Mark II,дизель,АКПП,1200000,200000.0,1994,1,0,0
1150,Toyota Sienta,гибрид,вариатор,1450000,52000.0,2017,1,0,0
1151,Toyota Land Cruiser Prado,дизель,АКПП,2400000,293000.0,1998,1,0,0
1152,Toyota Prius,гибрид,вариатор,1545000,130000.0,2017,1,0,0
1153,Toyota Corolla,бензин,АКПП,169000,238000.0,1992,1,0,0
1154,Toyota C-HR,гибрид,вариатор,2075000,103000.0,2018,1,0,0
1155,Toyota Prius,гибрид,вариатор,2000000,69783.0,2019,1,0,0
1156,Toyota Corolla Ceres,бензин,АКПП,315000,254000.0,1992,1,0,0
1157,Toyota Voltz,бензин,АКПП,680000,145513.0,2002,1,0,0
1158,Toyota Corolla Axio,бензин,вариатор,565000,89000.0,2006,1,0,0
1159,Toyota Harrier,гибрид,вариатор,4300000,55000.0,2021,1,0,0
1160,Toyota Land Cruiser,дизель,АКПП,7200000,144000.0,2016,1,0,0
1161,Toyota Platz,бензин,АКПП,440000,142434.0,2000,1,0,0
1162,Toyota Crown,бензин,АКПП,1300000,282000.0,2003,1,0,0
1163,Toyota Fortuner,бензин,АКПП,2190000,118000.0,2011,1,0,0
1164,Toyota Camry,бензин,АКПП,1500000,236815.0,2018,1,0,0
1165,Toyota Prius,гибрид,вариатор,728000,190000.0,2008,1,0,0
1166,Toyota Vista,бензин,АКПП,120000,50000.0,1991,1,0,0
1167,Toyota Harrier,бензин,вариатор,2300000,105000.0,2016,1,0,0
1168,Toyota RAV4,бензин,АКПП,387425,397676.0,1995,1,0,0
1169,Toyota Harrier,бензин,АКПП,865000,321000.0,1998,1,0,0
1170,Toyota Allion,бензин,вариатор,969000,207000.0,2010,1,0,0
1171,Toyota Prius,гибрид,вариатор,1500000,130000.0,2015,1,0,0
1172,Toyota Nadia,бензин,АКПП,510000,250000.0,1999,1,0,0
1173,Toyota Land Cruiser Prado,бензин,АКПП,5150000,15000.0,2021,1,0,0
1174,Toyota Raize,бензин,вариатор,1450000,85000.0,2019,1,0,0
1175,Toyota Harrier,гибрид,вариатор,3600000,90000.0,2021,1,0,0
1176,Toyota Land Cruiser Prado,дизель,АКПП,5500000,51600.0,2021,1,0,0
1177,Toyota Allion,бензин,АКПП,645000,199000.0,2004,1,0,0
1178,Toyota Wish,бензин,вариатор,1250000,105000.0,2009,1,0,0
1179,Toyota Lite Ace,дизель,АКПП,350000,300000.0,1996,1,0,0
1180,Toyota Premio,бензин,вариатор,985000,153000.0,2010,1,0,0
1181,Toyota Wish,бензин,вариатор,1200000,211000.0,2012,1,0,0
1182,Toyota Ractis,бензин,вариатор,549000,106000.0,2005,1,0,0
1183,Toyota Gaia,бензин,АКПП,310000,412000.0,1999,1,0,0
1184,Toyota Camry,бензин,АКПП,1150000,300000.0,2007,1,0,0
1185,Toyota Premio,бензин,вариатор,1900000,75000.0,2018,1,0,0
1186,Toyota Allex,бензин,АКПП,519000,215000.0,2001,1,0,0
1187,Toyota Wish,бензин,АКПП,888000,190000.0,2006,1,0,0
1188,Toyota Corolla Fielder,бензин,вариатор,1250000,171000.0,2017,1,0,0
1189,Toyota Ipsum,бензин,АКПП,1140000,210000.0,2004,1,0,0
1190,Toyota Voxy,бензин,вариатор,1250000,220000.0,2008,1,0,0
1191,Toyota Brevis,бензин,АКПП,759000,210000.0,2001,1,0,0
1192,Toyota Vista,бензин,АКПП,435000,275000.0,1999,1,0,0
1193,Toyota Allion,бензин,вариатор,829000,176000.0,2008,1,0,0
1194,Toyota Corolla,бензин,автомат,219000,207000.0,2000,1,0,0
1195,Toyota Crown,бензин,АКПП,1950000,231000.0,2005,1,0,0
1196,Toyota Land Cruiser Cygnus,бензин,АКПП,3250000,258253.0,2004,1,0,0
1197,Toyota Aqua,гибрид,вариатор,800000,213000.0,2014,1,0,0
1198,Toyota Allion,бензин,вариатор,860000,200000.0,2008,1,0,0
1199,Toyota Camry,бензин,АКПП,950000,150736.0,2004,1,0,0
1200,Toyota Wish,бензин,вариатор,1400000,155500.0,2012,1,0,0
1201,Toyota Aqua,гибрид,вариатор,999999,1.0,2017,1,0,0
1202,Toyota Mark II,бензин,АКПП,475000,449387.0,1997,1,0,0
1203,Toyota Town Ace,бензин,АКПП,1450000,161000.0,2016,1,0,0
1204,Toyota Wish,бензин,вариатор,1220000,173000.0,2013,1,0,0
1205,Toyota Corolla Axio,бензин,вариатор,600000,353549.0,2007,1,0,0
1206,Toyota Funcargo,бензин,АКПП,335000,264743.0,2002,1,0,0
1207,Toyota Sienta,бензин,вариатор,1675000,34993.0,2022,1,0,0
1208,Toyota Crown,бензин,АКПП,740000,256000.0,1997,1,0,0
1209,Toyota Carina,бензин,АКПП,430000,194000.0,1997,1,0,0
1210,Toyota Nadia,бензин,АКПП,525000,300000.0,1999,1,0,0
1211,Toyota Passo,бензин,вариатор,495000,93700.0,2010,1,0,0
1212,Toyota Vanguard,бензин,вариатор,1450000,134000.0,2010,1,0,0
1213,Toyota Land Cruiser Prado,бензин,АКПП,3820000,95000.0,2014,1,0,0
1214,Toyota Prius,гибрид,вариатор,1490000,189000.0,2016,1,0,0
1215,Toyota Corolla,бензин,АКПП,180000,268000.0,1992,1,0,0
1216,Toyota Corolla,бензин,механика,250000,187000.0,1996,1,0,0
1217,Toyota Raize,бензин,вариатор,1595000,80000.0,2019,1,0,0
1218,Toyota Ipsum,бензин,АКПП,700000,300000.0,2001,1,0,0
1219,Toyota Camry,бензин,АКПП,3800001,55000.0,2020,1,0,0
1220,Toyota Platz,бензин,АКПП,225000,250000.0,2001,1,0,0
1221,Toyota Cresta,бензин,АКПП,600000,198000.0,1999,1,0,0
1222,Toyota Land Cruiser Prado,дизель,автомат,2386000,210300.0,1991,1,0,0
1223,Toyota Mark II,бензин,АКПП,480000,300000.0,1995,1,0,0
1224,Toyota Ipsum,бензин,АКПП,930000,215369.0,2001,1,0,0
1225,Toyota Carina,бензин,АКПП,420000,120850.0,1999,1,0,0
1226,Toyota Hilux Surf,дизель,АКПП,280000,309507.0,1991,1,0,0
1227,Toyota Corolla Spacio,бензин,АКПП,550000,270000.0,2001,1,0,0
1228,Toyota Corolla,бензин,механика,380000,273159.0,2002,1,0,0
1229,Toyota Prius,гибрид,вариатор,420000,340000.0,2005,1,0,0
1230,Toyota Harrier,бензин,вариатор,2449999,160000.0,2014,1,0,0
1231,Toyota Crown,бензин,АКПП,330000,320014.0,1992,1,0,0
1232,Toyota Hiace,дизель,АКПП,800000,150000.0,1996,1,0,0
1233,Toyota Hilux Surf,дизель,АКПП,1050000,15000.0,1996,1,0,0
1234,Toyota Corona Premio,бензин,АКПП,330000,210000.0,1996,1,0,0
1235,Toyota Corolla Fielder,бензин,вариатор,1450000,25000.0,2021,1,0,0
1236,Toyota Prius,гибрид,вариатор,989000,300000.0,2012,1,0,0
1237,Toyota Corolla Axio,бензин,вариатор,650000,150000.0,2010,1,0,0
1238,Toyota Ipsum,бензин,АКПП,290000,190000.0,1999,1,0,0
1239,Toyota Belta,бензин,вариатор,365000,120000.0,2006,1,0,0
1240,Toyota Sienta,бензин,вариатор,1150000,60000.0,2021,1,0,0
